2016-12-10,23rd-and-park,Coke,$2.15
2016-12-10,23rd-and-park,Citrus Cup,$3.50
2016-12-10,23rd-and-park,Chicken Avocado with Cranberries & Walnuts with HH Vinaigrette,$8.25
2016-12-10,23rd-and-park,Prosciutto and Mozzarella Picnic Box,$5.50
2016-12-10,23rd-and-park,Harvest Apple Salad with Apple Cider Vinaigrette,$10.25
2016-12-10,23rd-and-park,Lemon Snapple,$2.15
2016-12-10,23rd-and-park,Chewy Marshmallow Bar With Brown Butter & Sea Salt,$2.50
2016-12-10,23rd-and-park,Fresh Mozzarella & Tomato With Basil,$4.05
2016-12-10,23rd-and-park,Half & Half,$2.35
2016-12-10,23rd-and-park,Southwestern Shrimp & Roasted Corn Chowder,$10.15
2016-12-10,23rd-and-park,Arroz Con Pollo (Contains Pork),$9.30
2016-12-10,23rd-and-park,Turkey & Avocado With Walnut Pesto,$4.05
2016-12-10,23rd-and-park,"Smoky Pepper, Shrimp And Orzo",$10.15
2016-12-10,23rd-and-park,Sriracha Chicken,$4.05
2016-12-10,23rd-and-park,Green Goddess with Avocado Green Goddess Dressing,$10.25
2016-12-10,23rd-and-park,Black Lentil With Smoked Turkey,$9.30
2016-12-10,23rd-and-park,Tomato Florentine,$7.75
2016-12-10,23rd-and-park,Chicken Vegetable With Couscous Or Noodles,$7.75
2016-12-10,23rd-and-park,Popcorners,$1.65
2016-12-10,23rd-and-park,Balsamic Chicken & Avocado,$4.05
2016-12-10,23rd-and-park,Tuna Nicoise Protein Box,$8.50
2016-12-10,23rd-and-park,Extra Sourdough,$0.50
2016-12-10,23rd-and-park,Southwestern Protein Box,$8.50
2016-12-10,23rd-and-park,"Grilled Chicken Caesar Saladwith Caesar dressing",$8.25
2016-12-10,23rd-and-park,Romesco Chicken & Artichoke with Spanish Romesco Dressing,$10.25
2016-12-10,23rd-and-park,Thai Chicken Satay Over Rice Vermicelli Noodles,$9.95
2016-12-10,23rd-and-park,Poland Spring Sparkling Lemon,$2.15
